reino,filo,clase,orden,familia,genero,especie,latitud,longitud,fecha,mes,anio,total_individuos,cluster_dbscan,clusterkmean,clusterkmean_amb
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.350824,-73.967205,2023-11-23,11,2023,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.334651,-73.990241,2012-06-22,6,2012,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.334637,-74.030922,2023-04-20,4,2023,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.332839,-74.102659,2016-02-06,2,2016,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.332839,-74.102659,2016-02-10,2,2016,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.3304,-74.0701,1976-11-17,11,1976,2,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.329233,-74.044804,2019-01-18,1,2019,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.32915,-73.996497,2022-08-11,8,2022,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.328755,-73.996391,2023-10-10,10,2023,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.328628,-73.996318,2025-03-02,3,2025,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.328485,-73.99627,2024-01-25,1,2024,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.327487,-73.968909,2009-03-29,3,2009,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.323432,-73.968115,2024-03-31,3,2024,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.323275,-73.967997,2015-08-07,8,2015,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.323055,-73.994835,2024-11-15,11,2024,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.322405,-73.958755,2024-08-14,8,2024,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.321237,-73.971931,1998-03-06,3,1998,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.320696,-73.974133,2018-07-21,7,2018,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.320227,-73.972107,1998-03-05,3,1998,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.319902,-73.958802,2023-11-10,11,2023,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.319046,-73.972685,2014-08-18,8,2014,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.31879,-73.980061,2024-10-15,10,2024,1,10,11,6
Animalia,Chordata,Amphibia,Anura,Dendrobatidae,Dendrobates,truncatus,11.317396,-73.953196,2024-10-14,10,2024,1,10,11,6
