grupo_geografico,latitud,longitud,total_individuos,fecha,anio,mes,especie,reino,filo,clase,orden,familia,genero
0,-1.770030556,-79.18109167,1,2008-09-01,2008,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
1,-2.86934,-79.11481,1,1994-03-31,1994,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
2,-2.9791070000000004,-79.69736666666667,36,2018-07-14,2018,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
3,-2.98312,-79.79112,25,2018-07-16,2018,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
4,-3.0117,-79.70454,20,2018-07-16,2018,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
5,-3.0521041665000004,-79.687558335,3,2007-08-01,2007,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
6,-3.051647222,-79.71741944,5,2007-03-01,2007,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
7,-3.063605,-79.785042,1,2015-11-06,2015,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
8,-3.064227778,-79.71616389,1,2006-07-01,2006,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
9,-3.064394444,-79.70500556,15,2007-08-01,2007,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
10,-3.075906,-79.777859,1,2024-09-14,2024,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
11,-3.08732,-79.71492,1,2012-06-29,2012,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
12,-3.08758,-79.74236,2,1993-05-18,1993,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
13,-3.088,-79.66966,3,2010-03-07,2010,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
14,-3.112905,-79.788015,1,2017-01-26,2017,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
15,-3.11472,-79.77353,37,2018-07-11,2018,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
16,-3.133078,-79.885727,1,2023-05-29,2023,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
17,-3.135392,-79.795564,1,2015-08-21,2015,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
18,-3.15736,-79.14427,1,1997-05-17,1997,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
19,-3.18836,-79.625429,1,2015-11-06,2015,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
20,-3.206805,-79.796057,1,2023-11-26,2023,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
21,-3.208535,-79.735397,1,2019-04-28,2019,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
22,-3.22002,-79.81462,28,2018-07-11,2018,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
23,-3.223921,-79.677224,1,2019-06-30,2019,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
24,-3.224016,-79.847837,1,2020-05-19,2020,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
25,-3.226051,-79.94713,1,2021-12-25,2021,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
26,-3.226079,-79.660839,1,2023-09-01,2023,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
27,-3.22774,-79.550203,1,2020-11-29,2020,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
28,-3.2333315000000002,-79.2,13,2014-02-15,2014,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
29,-3.244103,-79.675686,1,2019-09-25,2019,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
30,-3.244918,-79.659068,1,2022-03-05,2022,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
31,-3.247155,-79.422299,1,2024-09-22,2024,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
32,-3.247664,-79.713768,1,2023-02-16,2023,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
33,-3.249313,-79.230044,1,2012-07-10,2012,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
34,-3.260166,-79.31124,34,2001-09-21,2001,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
35,-3.26028,-79.2892,4,1959-02-28,1959,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
36,-3.260699,-79.7801,1,2014-07-21,2014,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
37,-3.26913525,-79.30169,39,2005-08-17,2005,8,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
38,-3.271637,-79.7418175,13,2006-02-17,2006,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
39,-3.271323,-79.617539,1,2021-10-24,2021,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
40,-3.2721832857142856,-79.52760142857143,84,2012-03-11,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
41,-3.27459,-79.54273,188,2014-05-09,2014,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
42,-3.276292,-79.487969,1,2013-12-17,2013,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
43,-3.279957,-79.711757,1,2025-01-14,2025,1,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
44,-3.28,-79.91899,1,2014-07-05,2014,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
45,-3.2829099999999998,-79.30059999999999,6,2023-12-18,2023,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
46,-3.28149,-79.46097,3,2018-03-20,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
47,-3.284738666666667,-79.31086,11,2003-09-14,2003,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
48,-3.287522,-79.4334,1,2024-09-21,2024,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
49,-3.2883299999999998,-79.75812,35,1996-10-27,1996,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
50,-3.28902,-79.52528,2,2012-03-11,2012,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
51,-3.2952215000000002,-79.905052,6,1959-03-03,1959,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
52,-3.294772,-79.240915,1,2011-05-17,2011,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
53,-3.29672,-79.383962,1,2023-07-15,2023,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
54,-3.29676,-79.4622,1,2018-03-22,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
55,-3.29739,-79.47457,1,2018-03-20,2018,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
56,-3.300269,-79.34413,4,2000-10-29,2000,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
57,-3.30236,-79.52938,59,2014-05-13,2014,5,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
58,-3.3054435,-79.7379935,2,2019-06-30,2019,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
59,-3.3057145,-79.59868800000001,4,2010-06-11,2010,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
60,-3.307,-79.60593,91,2014-07-15,2014,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
61,-3.30756,-79.77917,5,2013-06-14,2013,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
62,-3.308756,-79.47057,2,2010-06-10,2010,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
63,-3.310999,-79.55,1,2001-03-24,2001,3,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
64,-3.311064,-79.721639,1,2023-09-01,2023,9,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
65,-3.3142674666666667,-79.58074,139,2013-06-14,2013,6,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
66,-3.314519444,-79.29590556,3,1987-07-01,1987,7,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
67,-3.316006,-79.993027,1,2020-11-02,2020,11,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
68,-3.3198885714285713,-79.6704842857143,166,2014-04-15,2014,4,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
69,-3.3188595,-79.80289,2,2015-10-15,2015,10,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
70,-3.320434,-79.944415,1,2023-12-28,2023,12,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
71,-3.320622,-79.69375,3,2002-02-21,2002,2,anthonyi,Animalia,Chordata,Amphibia,Anura,Dendrobatidae,
